Id,AUrl,BUrl
0,www.allmusic.com/artist/sufjan-stevens-mn0000580300,www.rollingstone.com/music/artists/sufjan-stevens
1,www.imdb.com/name/nm0346360,https://www.fandor.com/filmmakers/director-jose-luis-guerin-661
2,www.imdb.com/name/nm1017334,https://www.linkedin.com/in/juno-temple-32152375
3,https://www.linkedin.com/in/kathywolfe,https://twitter.com/RepWolfeMoore
4,https://www.linkedin.com/in/mipetersen,https://www.researchgate.net/profile/Mikael_Petersen
5,https://www.travelchinaguide.com/attraction/hebei/qinhuangdao/beidaihe.htm,https://www.tripadvisor.com/Attraction_Review-g297430-d503339...
6,https://twitter.com/LeClairRyan,https://commercialobserver.com/tag/leclairryan
7,https://au.linkedin.com/in/marcelo-abud-33982013,https://in.linkedin.com/in/marcelo-aq-534a8128
8,www.imdb.com/name/nm0767741,https://twitter.com/THETomSavini
9,www.imdb.com/name/nm0682998,https://www.linkedin.com/in/andrew-pifko-0b364a11
10,https://www.linkedin.com/in/anthony-duruji-597342100,www.scout.com/player/207724-anthony-duruji
11,https://twitter.com/susannecraig,topics.nytimes.com/top/reference/timestopics/people/c/susanne_craig
12,www.imdb.com/name/nm0229424,projects.latimes.com/hollywood/star-walk/edward-dmytryk
13,www.goldmanprize.org/recipient/laila-iskandar-kamel,https://www.linkedin.com/in/laila-iskandar-2212b4b5
14,https://www.linkedin.com/in/lucy-mckenzie-6805192a,www.artnet.com/artists/lucy-mckenzie
15,https://www.linkedin.com/in/jctolla,https://www.researchgate.net/profile/John_Tolla
16,247sports.com/Player/Rodney-Adams-16809,https://www.realestate.com.au/agent/rodney-adams-378076
17,www.imdb.com/name/nm4521673,https://www.linkedin.com/in/jeffrey-wasserburger-93330b27
18,https://www.linkedin.com/in/rbehnke,https://www.researchgate.net/profile/Rob_Behnke
19,https://www.linkedin.com/in/emilyfcalhoun,www.imdb.com/name/nm4070208
20,https://www.mylife.com/michele-rutsey/michele_rutsey,https://www.linkedin.com/in/mark-e-rutsey-sra-12a44787
21,https://www.linkedin.com/in/patti-putnicki-03398717,https://www.linkedin.com/companies/patti-putnicki-freelance-writer
22,www.espncricinfo.com/india/content/player/537124.html,www.ndtv.com/topic/gurkeerat-singh-mann
23,www.cnet.com/profiles/wcunning,https://au.linkedin.com/in/wayne-cunningham-7277b144
24,https://www.water.wa.gov.au,sfwater.org/index.aspx?page=163
25,https://www.linkedin.com/in/brian-leonhardt-b4413a86,sports.yahoo.com/nfl/players/27065
26,https://www.linkedin.com/in/gladys-quinto-marrone-jd-cae-503a5633,https://cz.linkedin.com/in/enrico-marrone-5ba21553
27,https://twitter.com/cyrilthereau,www.espnfc.com/player/87322/cyril-thereau
28,https://www.linkedin.com/in/steve-debuhr-ab2034101,www.wherrymortuary.com/notices/Lyle-DeBuhr
29,https://www.linkedin.com/in/the-ethics-centre-6a21b258,https://ethicsinsociety.stanford.edu
30,https://www.linkedin.com/company/eyeka,https://twitter.com/eYeka
31,https://twitter.com/AmirAmirani,www.imdb.com/name/nm2574381
32,https://www.linkedin.com/in/krishna-advani-57284929,www.ndtv.com/topic/lal-krishna-advani
33,https://www.linkedin.com/in/triniti,customerthink.com/author/triniti_burton
34,https://www.linkedin.com/in/mike-althoff-b0829a14,https://twitter.com/schmalthoff
35,https://twitter.com/DmGlm,www.imdb.com/name/nm1035227
36,https://www.aclu.org/bio/mohamed-ahmed-ben-soud,https://www.linkedin.com/in/mohamed-ahmed-30309561
37,https://www.linkedin.com/in/sheriffscottisrael,https://www.healthtap.com/experts/7982791-dr-scott-israel
38,espn.go.com/college-football/player/_/id/530483/shaquille-powell,247sports.com/Player/Shaquille-Powell-39827
39,https://www.linkedin.com/in/ernest-earon-ba7a7b13,www.tedxindianapolis.com/speakers/ernest-earon-phd
40,www.advertisingweek.com,https://twitter.com/AW_Europe
41,https://www.linkedin.com/in/jaleel-robinson-95619689,https://www.washingtonpost.com/pb/allmetsports/broad-run/jaleel-robinson/
42,www.imdb.com/name/nm0193104,https://twitter.com/MARKCURRY
43,cargocollective.com/jirka,https://twitter.com/JirkaVinse
44,https://twitter.com/TylerWardMusic,https://www.linkedin.com/in/tyler-ward-61b17811b
45,https://www.linkedin.com/in/ibrahim-mustapha-alibe-68aa14110,https://uk.linkedin.com/in/aliyu-musa-kida-98981731
46,https://www.linkedin.com/in/tashina-green-b91b1764,www.usgbc.org/people/tashina-jirikovic/0010822121
47,public-schools.startclass.com/l/30727/Tri-City-High-School,"www.maxpreps.com/high-schools/tri-city-tornadoes-(buffalo,il)/home.htm"
48,https://www.linkedin.com/in/carlallenbrown,https://twitter.com/carlbrownIH
49,www.imdb.com/name/nm8235913,https://www.tripadvisor.com/Restaurant_Review-g294309-d9756730...
50,https://www.linkedin.com/in/ruben-morfin-53945146,www.breitbart.com/tag/ruben-morfin
51,https://www.linkedin.com/in/debidavis,https://twitter.com/DebDrive
52,https://twitter.com/hayesgrier,www.imdb.com/name/nm7550953
53,https://www.linkedin.com/in/joyce-wright-9010681,https://uk.linkedin.com/in/joycewright
54,www.simcorp.com,https://www.linkedin.com/company/simcorp
55,https://www.linkedin.com/in/paulojsantos,https://pt.linkedin.com/in/paulopintosantos
56,https://www.linkedin.com/in/audrey-tayse-haynes-73a294b6,www.imdb.com/name/nm2826230
57,https://www.linkedin.com/in/garrettjoshua,https://au.linkedin.com/in/josh-garrett-0467399a
58,https://www.linkedin.com/in/ashok-soni-7a8b4b24,www.healthgrades.com/dentist/dr-ashok-soni-xnbm2
59,https://www.tripadvisor.com/Hotel_Review-g60750-d223776-Reviews...,www.resaver.com/hotel/17036288
60,https://www.linkedin.com/in/myanmar-national-airlines-9a5b00b3,economictimes.indiatimes.com/topic/Myanmar-National-Airlines
61,www.imdb.com/name/nm0125540,https://www.bookdepository.com/Not-This-World-Margherita-Buy/...
62,247sports.com/Player/Armanti-Foreman-12923,espn.go.com/college-football/player/_/id/3125115/armanti-foreman
63,https://www.linkedin.com/in/rafael-gutierrez-17315969,https://twitter.com/RALPH4lyf
64,https://au.linkedin.com/in/julia-medew-3b834b35,https://twitter.com/juliamedew
65,https://twitter.com/Textron,usuaebusiness.org/members/textron-systems
66,https://www.linkedin.com/in/john-teutsch-3786746,https://www.avvo.com/attorneys/98112-wa-john-teutsch-225769.html
67,https://www.linkedin.com/in/wael-abou-faour-37483291,www.imdb.com/name/nm0009446
68,https://www.linkedin.com/in/frances-chung-23684615,https://www.researchgate.net/profile/Frances_Chung
69,https://au.linkedin.com/in/jeremy-sharp-3824623a,https://www.jisc.ac.uk/staff/jeremy-sharp
70,https://www.linkedin.com/in/tal-cohen-0a8a5551,https://www.quora.com/profile/Tal-Cohen-1
71,https://www.linkedin.com/in/david-cleaver-53847b21,waatp.com/people/david-o-cleaver/17669451
72,www.allmusic.com/artist/foxygen-mn0002939749,https://twitter.com/foxygentheband
73,https://twitter.com/IngridNilsen,www.imdb.com/name/nm5760637
74,https://www.linkedin.com/in/marti-jordan-54287963,https://www.homelight.com/agents/marti-jordan-ca-01000627
75,www.mtv.com/artists/atlas-genius,https://twitter.com/atlasgenius
76,https://au.linkedin.com/in/sandra-perez-47221557,www.imdb.com/name/nm0702368
77,https://www.linkedin.com/in/raed-arafat-7bb29730,www.imdb.com/name/nm7453585
78,https://www.linkedin.com/in/m-n-singh-2a009356,nalinisingh.com
79,www.ufc.com/fighter/Roy-Nelson,https://twitter.com/roynelsonmma
80,https://twitter.com/dg_report,https://www.linkedin.com/company/demand-gen-report/employee-insights
81,www.airasia.com,data.cnbc.com/quotes/AIRA-MY
82,https://au.linkedin.com/in/sam-stretton-6728b4a,www.imdb.com/name/nm5565452
83,https://uk.linkedin.com/in/alexander-carter-silk-8805193,www.imdb.com/name/nm2959525
84,https://www.linkedin.com/in/craigmandeville,https://www.crunchbase.com/person/craig-mandeville
85,https://twitter.com/danielbru,https://www.linkedin.com/in/danielbru
86,www.anandtech.com/tag/exynos,https://twitter.com/SamsungExynos
87,https://www.linkedin.com/in/rodney-antonson-07321338,commons.bellevuecollege.edu/members/r-antonson/profile
88,www.ted.com/speakers/marc_goodman,https://twitter.com/futurecrimes
89,sports.yahoo.com/soccer/players/gregoire-defrel,www.espnfc.com/player/156883/gregoire-defrel
90,https://www.linkedin.com/in/danielle-finn-1552b6b2,https://uk.linkedin.com/in/danielle-ewald-finn-08104933
91,https://twitter.com/olensmar,https://www.linkedin.com/in/ole-lensmar-a714721
92,https://www.linkedin.com/in/matthewmarcarelli,www.imdb.com/name/nm4951286
93,https://twitter.com/jonathansegura,https://www.linkedin.com/in/jonathan-segura-8959809
94,https://twitter.com/EstherManheimer,www.vwlawfirm.com/Attorney-Profiles/Esther-E-Manheimer.aspx
95,www.imdb.com/name/nm2397636,sensiblesafeguards.org/experts/jeff-levi
96,https://www.linkedin.com/in/luis-alberto-albarran-miranda-63a4ab74,https://au.linkedin.com/in/luisavilamiranda
97,www.imdb.com/name/nm6772118,https://www.linkedin.com/in/ray-n-pattie-willows-34899362
98,https://www.linkedin.com/in/renata-rivera-flores-23a7401b,https://www.researchgate.net/profile/Jefferson_Proano
99,https://www.linkedin.com/in/linda-campbell-bb082a9,www.imdb.com/name/nm3867029
100,https://au.linkedin.com/in/jan-grabowski-88038830,www.imdb.com/name/nm5152156
101,www.ndtv.com/topic/vilasrao-deshmukh,economictimes.indiatimes.com/topic/Vilasrao-Deshmukh
102,espn.go.com/nfl/player/stats/_/id/3044716/marquez-north,247sports.com/Player/MarQuez-North-10810
103,http://www.espn.com/college-sports/basketball/recruiting/player/_/id/171212/brady-twombly,247sports.com/Player/Brady-Twombly-58556
104,https://www.crunchbase.com/person/saar-dickman,www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=...
105,https://www.linkedin.com/in/joe-gysel-b094244b,www.bloomberg.com/profiles/people/16727689-joe-gysel
106,https://twitter.com/RyanJosephHart,https://www.forrester.com/Ryan-Hart
107,www.netregistry.com.au,https://twitter.com/netregistry
108,https://www.linkedin.com/in/dylan-mattingly-97704911,www.imdb.com/name/nm6946852
109,www.imdb.com/name/nm0565323,https://au.linkedin.com/in/steve-mccarthy-60a9895
110,www.imdb.com/name/nm0020521,https://www.linkedin.com/in/fred-allen-18961238
111,https://au.linkedin.com/in/sonya-anderson-45425aba,www.imdb.com/name/nm6810924
112,www.imdb.com/name/nm0480440,projects.latimes.com/hollywood/star-walk/alan-ladd-jr
113,https://www.linkedin.com/in/yorick-a-hempstead-84020975,https://twitter.com/RossPickering
114,https://twitter.com/joshcorman,blog.cognitivedissidents.com
115,https://www.linkedin.com/in/janice-edouard-9aa9a243,https://www.researchgate.net/profile/Edouard_Cantin
116,https://twitter.com/bratmix,https://www.linkedin.com/in/danielbarassi
117,https://au.finance.yahoo.com/marketpulse/NLST,data.cnbc.com/quotes/NLST
118,https://www.crunchbase.com/person/chris-slowe,https://twitter.com/KeyserSosa
119,https://twitter.com/mebfaber,economictimes.indiatimes.com/topic/Meb-Faber
120,https://twitter.com/44blue,https://www.linkedin.com/in/jeff-turner-69b15325
121,https://www.sandiego.gov/citycouncil/cd1/communities/university,www.ucitymo.org/index.aspx?NID=78
122,https://www.linkedin.com/in/larry-kobilinsky-1986345,www.jjay.cuny.edu/faculty/lawrence-kobilinsky
123,www.imdb.com/name/nm3355471,www.kw.com/kw/agent/rickcunningham
124,www.allmusic.com/artist/kathie-baillie-mn0001558582,www.imdb.com/name/nm1671049
125,https://twitter.com/Wrapchic,https://www.tripadvisor.com/Restaurant_Review-g186408-d8778214...
126,https://twitter.com/joshelman,https://www.linkedin.com/in/joshe
127,www.forbes.com/profile/cristiano-ronaldo,https://twitter.com/cristiano
128,www.espncricinfo.com/australia/content/player/211854.html,https://twitter.com/BobbyQuiney
129,https://twitter.com/jackslackmma,https://sports.vice.com/ca/contributor/jack-slack
130,www.imdb.com/name/nm0391340,https://twitter.com/markgholloway
131,www.imdb.com/name/nm0697660,https://www.quora.com/profile/Hal-Prince
132,https://twitter.com/RichardTol,https://www.linkedin.com/in/richardtol
133,https://twitter.com/telegraaf,https://pt.wikipedia.org/wiki/De_Telegraaf
134,https://www.linkedin.com/in/nickbartle,https://www.crunchbase.com/person/nick-bartle
135,www.mtv.com/artists/beatsteaks,www.imdb.com/name/nm3129556
136,https://www.linkedin.com/in/alpinept,https://twitter.com/BrentDodge
137,https://au.linkedin.com/in/zoran-bolevich-7b037a2,fst.net.au/speakers/dr-zoran-bolevich
138,www.milb.com/player/index.jsp?player_id=643466,www.cbssports.com/mlb/players/playerpage/2218318
139,au.finance.qa2p.global.media.yahoo.com/marketpulse/GXP,data.cnbc.com/quotes/GXP
140,https://www.linkedin.com/in/amy-maxmen-bb38855,https://www.geneticliteracyproject.org/author/amy-maxmen
141,https://twitter.com/CLTVnews,www.chicagotribune.com/.../cltv-news-ENTTV000000279-topic.html
142,https://www.linkedin.com/in/ricardo-padua-6000072,www.imdb.com/name/nm5257684
143,www.uts.edu.au/staff/david.soldani,aalrr.com/attorneys/david_a._soldani
144,https://profiles.google.com/horizontesbienraizdetequilajal,https://www.researchgate.net/profile/Anayatzin_Castro
145,https://www.linkedin.com/in/kenneth-feeley-670a2915,https://www.researchgate.net/profile/Kenneth_Feeley
146,https://au.linkedin.com/in/chrishealy84,https://twitter.com/ChristophrHealy
147,https://twitter.com/noorfares,www.liberty.co.uk/fcp/categorylist/designer/noor-fares
148,https://www.tripadvisor.com/Hotel_Review-g32849-d4550989-Reviews...,www.hotelscombined.com/Hotel/The_Epiphany_Hotel.htm
149,https://www.linkedin.com/company/denny-elwell-company,https://www.linkedin.com/in/danny-elwell-19816590
150,https://leadferret.com/directory/person/michael-burleson/1504600,https://www.avvo.com/attorneys/35055-al-michael-burleson-4315571.html
151,www.imdb.com/name/nm0446120,https://www.linkedin.com/in/john-kellogg-83892912
152,https://www.linkedin.com/in/marc-gaden-39820b1b,https://www.researchgate.net/profile/Marc_Gaden/publications
153,trailers.apple.com/trailers/disney/ozthegreatandpowerful,https://www.presto.com.au/movies/oz-the-great-and-powerful
154,https://www.law.upenn.edu/cf/faculty/drudovsk,https://www.linkedin.com/in/david-rudovsky-30659112
155,https://www.linkedin.com/company/rocky-mountain-micro-ranch,https://www.tripadvisor.com/Hotel_Review-g35609-d114341-Reviews...
156,chemistry.cornell.edu/faculty/detail.cfm?netid=bw24,https://www.linkedin.com/in/benjamin-cole-74092580
157,https://www.linkedin.com/pub/dir/eric/enge,https://www.linkedin.com/in/ericenge
158,https://www.linkedin.com/company/jewelmer-joaillerie,https://www.linkedin.com/in/euniza-ramos-capili-770459a9
159,https://www.homelight.com/agents/christina-richmond-wa-1196934,https://www.linkedin.com/in/christina-richmond-mph-26717a27
160,https://www.linkedin.com/company/profile-defenders,https://www.linkedin.com/in/profile-defenders-4540123a
161,https://www.tripadvisor.com/Attraction_Review-g60903-d218839...,https://twitter.com/CivilWarMed
162,public-schools.startclass.com/l/72744/Apache-Middle-School,public-schools.startclass.com/l/72745/Apache-High-School
163,https://www.linkedin.com/in/matthew-abramo-90b450,247sports.com/Player/Matt-Abramo-75559
164,www.imdb.com/name/nm0608378,https://www.linkedin.com/in/david-moscow-6816888
165,https://www.linkedin.com/in/zmanian,https://www.quora.com/profile/Zaki-Manian
166,www.imdb.com/name/nm0049920,https://twitter.com/HowardBaldwin
167,https://au.linkedin.com/in/byjakedean,www.mtv.com/artists/jake-dean
168,www.imdb.com/name/nm1079045,https://au.linkedin.com/in/william-garcia-9731a432
169,https://www.linkedin.com/company/fosun-group,www.bloomberg.com/profiles/companies/0796274D:CH
170,www.sydneytallships.com.au,www.captaincookcruisesfiji.com/fiji-ships/default.htm
171,https://twitter.com/TheREALRIKISHI,www.imdb.com/name/nm0030451
172,https://www.businessoffashion.com/community/people/pierre-yves-roussel,https://www.linkedin.com/in/pierre-yves-roussel-94a2b5a4
173,https://www.linkedin.com/in/patricia-vázquez-cruz-2125a7a2,https://au.linkedin.com/in/patricia-vázquez-pérez-ba090297
174,https://www.linkedin.com/company/haiyin-venture-partners,https://www.linkedin.com/in/dongping（东平）-lee（李）-42874654
175,https://www.tripadvisor.com/Tourism-g191-United_States-Vacations.html,www.nytimes.com/topic/destination/united-states
176,https://www.linkedin.com/in/matthew-schwimmer-609b14b5,www.imdb.com/name/nm0001710
177,https://au.linkedin.com/in/mike-schulz-02775a4,https://twitter.com/schulzmk
178,https://www.avvo.com/attorneys/98908-wa-jack-fiander-13888.html,waatp.com/people/jack-fiander/40396750
179,https://twitter.com/davidbergman,https://med.stanford.edu/profiles/david-bergman
180,sports.yahoo.com/soccer/players/maurizio-domizzi,www.sbnation.com/soccer/serie-a/players/164038/maurizio-domizzi
181,www.ndtv.com/topic/yashwant-sinha,economictimes.indiatimes.com/topic/Yashwant-Sinha
182,https://twitter.com/nataliecutler,https://au.linkedin.com/in/natalie-cutler-a1a32067
183,https://www.linkedin.com/in/clarence-mock-82372320,https://www.avvo.com/attorneys/68045-ne-clarence-mock-4653778.html
184,https://twitter.com/mercyhealth,https://cancer.mercyhealthsystem.org
185,https://twitter.com/jim_gresham,https://www.linkedin.com/in/jim-gresham-ab21368a
186,https://twitter.com/jacobsteinberg,https://www.theguardian.com/profile/jacob-steinberg
187,https://www.linkedin.com/in/nuriaboot,trooclick.com/speakers/nuria-boot-91093
188,espn.go.com/nba/player/_/id/4158/jerel-mcneal,sports.yahoo.com/nba/players/4684
189,https://au.linkedin.com/in/samuel-clark-83246355,https://twitter.com/sclark_melbs
190,https://www.tripadvisor.com/Restaurant_Review-g35805-d3859372...,https://foursquare.com/v/sushi-dokku/50f202b3e4b0d94f8e7bf787
191,https://www.linkedin.com/in/ibrahim-farinloye-17490734,www.ndtv.com/topic/ibrahim-farinloye
192,https://www.tripadvisor.com/Attraction_Review-g60763-d105126...,https://twitter.com/MuseumModernArt
193,http://www.bloomberg.com/research/stocks/people/person.asp?personId=524212&capId=874310&previousCapId=184139415&previousTitle=WebThriftStore%2C%20Inc.,people.equilar.com/bio/minoru-makihara-ibm/salary/45475
194,www.imdb.com/name/nm0608856,https://www.linkedin.com/in/timothymosley
195,https://www.linkedin.com/in/shimul-shah-4893a3106,www.pareshah.com/team/shimul-shah
196,https://www.linkedin.com/in/sartaz-aziz-bb4b3983,www.ndtv.com/topic/sartaz-aziz
197,https://www.linkedin.com/in/dorothy-graham-52785065,www.imdb.com/name/nm0334013
198,https://au.linkedin.com/in/annie-bryan-b3505435,https://www2.warwick.ac.uk/services/careers/contact/directory/bryan
199,https://twitter.com/janebailey04,https://uk.linkedin.com/in/jane-bailey-7b011446
